,hashtag,count
413,WorldTeachersDay,1
418,Uzbek,1
396,EnergyChallenge18,1
379,voters,1
380,NationalColorDay,1
400,innovative,1
399,GameDay,1
381,backhomeagaininIndiana,1
398,HabitatforHumanity,1
382,Ballantineview,1
384,MoreChoices,1
417,Azerbaijani,1
394,statewideit18,1
385,LessHassle,1
386,LiveOnCampus,1
389,ResearchRumble,1
393,WorldFoodDay,1
392,library,1
390,women,1
402,iuredsteppers,1
378,FightTheFlu,1
403,iudanceteam,1
404,marchinghundred,1
371,MMPPoY,1
372,GBO,1
416,QandAllie,1
373,November1,1
374,orsonwelles,1
415,TNFonFOX,1
412,GoodNews,1
375,flushot,1
411,thankstoIUDonors,1
376,Anthropology,1
410,golden,1
409,CourtlandWeek,1
408,ThankstoIUdonors,1
406,number44,1
405,alum,1
0,IUBOT,1
477,goldmedalist,1
431,noonconcert,1
540,TetersTight,1
538,MBA,1
537,app,1
536,iuwg,1
535,MakerEd,1
534,CSed,1
532,CS,1
531,WorldEmojiDay,1
530,mecbootcamp,1
528,notnecessarily,1
527,arboretum,1
526,imu,1
525,ThrowBackThurday,1
524,B1GMediaDay,1
522,PublicSafety,1
521,FactOfTheWeek,1
520,Korea,1
519,PanPacs2018,1
518,Phillips66Nats,1
517,BiasTraining,1
516,IUattheFair,1
515,عهودولوجي,1
514,puzzles,1
513,gencon,1
539,BloodEmergency,1
541,IUhesa,1
509,NASAinterns,1
542,WearableTech,1
570,LimestoneMonth,1
569,IUAAcc2018,1
568,Summertime,1
567,IMU,1
566,DNA,1
565,Snapchat,1
563,MeetMeAtTheMAC,1
562,optometry,1
561,MasterTeamJoe,1
560,BTNBig10K,1
559,DualLanguage,1
558,Juneteenth2018,1
557,addiction,1
556,SummerSolstice,1
554,TakeYourDogToWorkDay,1
552,NobodyHasItBetter,1
551,IUTrustees2018,1
550,Shakespeare,1
549,garden,1
548,biology,1
547,education,1
546,IndependenceDay,1
544,Summer,1
512,GenCon18,1
507,MMBest5,1
432,knowtherules,1
469,OTeam,1
467,nophonenoway,1
466,ois75,1
465,BREG18,1
463,ElectWomen,1
462,worldrecord,1
461,sustainable,1
460,RAH,1
458,MakingIUHIstory,1
457,Emmys,1
454,Babyface,1
452,iutailgates,1
451,B1GXC,1
450,climatechange,1
449,MeetAidan,1
448,IUClassOf2020,1
447,neutron,1
445,Beijing,1
444,fallintheair,1
439,pasta,1
437,NationalVoterRegistrationDay,1
435,TheNewIU,1
434,cancer,1
433,avoidcitations,1
468,BigTenVotingChallenge,1
470,CTSI,1
505,ThomasHartBenton,1
471,kisdcollegecolors,1
