Created date,Post title,Post link,Post type,Impressions,Video views,Clicks,Click through rate (CTR),Likes,Comments,Shares,Follows,Engagement rate
2019-05-07 00:00:00,"IU's Center for Veteran and Military Students has just launched Operation Hoosier - a campus task force focused on helping student veterans navigate life on campus and reach graduation. 

#indianauniversity #veterans",https://www.linkedin.com/feed/update/urn:li:activity:6531525058005913600,Organic,15368,0,94,0.006116605829447508,145,10,9,0,0.01678813062608242
2019-05-06 00:00:00,"It was wet, but the class of 2019 wasn't going to let that stop them from celebrating their achievements. Congratulations to all of our grads and welcome to the #IUAlumni family!
⚪🔴👩🏾‍🎓👨🏼‍🎓⚪🔴👨🏾‍🎓👩🏼‍🎓⚪🔴

#IUBGrad19 #indianauniversity",https://www.linkedin.com/feed/update/urn:li:activity:6531221075240509440,Organic,87674,33669,689,0.007858658209443092,1095,27,37,0,0.021078085526823997
2019-05-04 00:00:00,"Join us live today at 10 a.m. to celebrate the IU Bloomington class of 2019. Congrats to all of our graduates - we can't wait to see the great things you're going to do! https://bit.ly/2Y34Grq
#indianauniversity #iubgrad19",https://www.linkedin.com/feed/update/urn:li:activity:6530410802548211712,Organic,30952,0,425,0.013730938546359539,356,4,5,0,0.025523390620946884
2019-05-03 00:00:00,"Join us live today at 3 p.m. to celebrate this year's IU Bloomington Graduate Recognition ceremony. We're awarding more than 2,100 master's and 573 doctoral degrees! Congrats to all of our graduates!
https://bit.ly/2Y6IRHn

#indianauniversity #iubgrad19",https://www.linkedin.com/feed/update/urn:li:activity:6530100026818027520,Organic,39299,0,603,0.015343901701271534,392,13,8,0,0.025853075087070465
2019-05-02 00:00:00,"Indiana University's long and storied history of international engagement dates back more than a century and spans the globe. But few countries hold quite the connection that Thailand does.

Learn more about IU's work and partnerships in Thailand: thailand.news.iu.edu

#indianauniversity #iuinthailand ",https://www.linkedin.com/feed/update/urn:li:activity:6529705617416863744,Organic,27883,8987,155,0.005558942910283804,150,5,6,0,0.011333070695400238
2019-05-01 00:00:00,"The IU Alumni Association is proud to present job opportunities for IU alumni from all campuses from employers specifically seeking to hire a Hoosier. Check out this listing that was recently shared with the IUAA. 

CDFI, Bloomington, IN – Executive Director - The ideal candidate will bring credit experience at a CDFI and/or in community development, experience or capacity to manage a startup organization, strong leadership qualities, and the disposition for working closely with a nonprofit board.  . Familiarity with Bloomington/Monroe County is a plus. For a full job description and application instructions, please visit: https://lnkd.in/eM-i3D9. 

If you need additional career assistance, the IUAA Career and Professional Development team is here to help. Learn more about career coaching at www.iualumnicareers.com.
",https://www.linkedin.com/feed/update/urn:li:activity:6529325317599870976,Organic,28253,0,278,0.009839663282036781,103,0,4,0,0.01362687163054943
2019-04-30 00:00:00,"""The George Taliaferro Plaza will serve as a permanent reminder to our players, coaches, staff & fans of the impact he made on Indiana University, the sport of football & the individuals that he crossed paths with on a daily basis.""
#indianauniversity
https://lnkd.in/gb88AnG",https://www.linkedin.com/feed/update/urn:li:activity:6528961231372587009,Organic,15340,0,153,0.009973924607038498,136,6,9,0,0.019817471504211426
2019-04-29 00:00:00,"Between creative workshops, fun trips and great friends, IU sophomore John Rusyniak climbed his way to the top this semester. 🏕Check out our peek into the life of this Indiana University - Kelley School of Business student and IU Outdoor Adventures trip leader. ⚪🔴📚 #OneDayOneHoosier
#indianauniversity 

Read his whole story here: https://bit.ly/2Iz8s85",https://www.linkedin.com/feed/update/urn:li:activity:6528631781862760448,Organic,22459,6307,85,0.003784674219787121,84,7,5,0,0.008059130050241947
2019-04-28 00:00:00,"Our hearts are with the family and friends of former Indiana senator and IU faculty member Richard Lugar, who passed away this morning.

IU President Michael McRobbie called Lugar ""one of Indiana's and our nation's most illustrious and visionary statesmen, a dedicated public servant and a true titan of U.S. politics.""

Read more about Lugar's legacy: https://lnkd.in/d_aMgk6?",https://www.linkedin.com/feed/update/urn:li:activity:6528342380741955584,Organic,27929,0,487,0.017437072470784187,403,27,26,0,0.03376418724656105
2019-04-28 00:00:00,"""Success can be a powerful motivator, so I feel like I've been able to perform at an even higher level through the valuable experiences I've gained competing."" 

Indiana University Jacobs School of Music student Dominic Muzzi snags two gold medals in two national competitions. #success #indiana 

http://go.iu.edu/2atU",https://www.linkedin.com/feed/update/urn:li:activity:6528273455115309056,Organic,12071,0,110,0.009112749248743057,67,0,6,0,0.015160301700234413
2019-04-27 00:00:00,"Indiana University President Michael A. McRobbie has issued a statement on IU alumnus and internationally acclaimed physician, educator and scientist David Hamburg, who died April 21 at the age of 93.

http://go.iu.edu/2atM",https://www.linkedin.com/feed/update/urn:li:activity:6527938246268329984,Organic,16173,0,217,0.013417423702776432,76,0,2,0,0.018240276724100113
2019-04-26 00:00:00,"Researchers at the Indiana University School of Optometry partnered with the IU baseball team to investigate impact of 'vision training' on sports performance. #indiana #baseball #iuresearch 

MORE: http://go.iu.edu/2av1",https://www.linkedin.com/feed/update/urn:li:activity:6527571456740589568,Organic,52395,21078,441,0.008416833356022835,361,10,34,0,0.016146579757332802
2019-04-25 00:00:00,"Indiana University will award more than 21,000 degrees to 20,942 graduates during commencement ceremonies at its seven campuses May 3 to 11. Of those degrees, 10,008 of them come from IU Bloomington. 🎓 

#indianauniversity #iubloomington #commencement

http://go.iu.edu/2aul",https://www.linkedin.com/feed/update/urn:li:activity:6527213249031598080,Organic,24038,0,282,0.011731425300240517,392,12,22,0,0.02945336513221264
